Date,RELIANCE.NS,TCS.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,HINDUNILVR.NS,ITC.NS,SBIN.NS,BHARTIARTL.NS,BAJFINANCE.NS
2016-04-13,233.59671020507807,999.177978515625,248.68505859375,204.2964324951172,447.5797424316406,763.6459350585938,148.4838409423828,173.2073211669922,299.853271484375,72.12193298339844
2016-04-18,233.3118438720703,996.626953125,250.075912475586,201.3251800537109,472.7698364257813,764.8793334960938,150.3441162109375,168.55899047851562,306.8106994628906,70.99113464355469
2016-04-20,227.2969207763672,969.17724609375,252.3863525390625,202.08920288085932,474.6399230957031,769.0902709960938,150.38894653320312,169.05538940429688,304.4630432128906,70.0156478881836
2016-04-21,228.1405334472656,958.9132690429688,250.8460693359375,214.82325744628903,468.0371398925781,769.047607421875,147.90110778808594,175.41867065429688,304.9752197265625,67.81329345703125
2016-04-22,227.658447265625,956.006591796875,251.0759735107422,213.9319000244141,462.2929992675781,752.1618041992188,146.04083251953125,180.6537170410156,301.4325256347656,67.66429138183594
2016-04-25,222.8267974853516,969.5333862304688,251.328857421875,214.73834228515625,464.0487060546875,752.119384765625,143.86683654785156,177.8556671142578,306.4265441894531,66.52574920654297
2016-04-26,222.83775329589844,984.7814331054688,256.0646057128906,215.67218017578125,470.2698669433594,753.4802856445312,146.75807189941406,181.37576293945312,307.6643371582031,67.98653411865234
2016-04-27,223.3745880126953,993.2056274414062,258.44390869140625,207.64971923828125,473.32318115234375,758.9671020507812,149.51483154296875,177.04331970214844,318.4633483886719,67.41677856445312
2016-04-28,218.4004821777344,999.7910766601562,256.0875549316406,203.8295135498047,461.4915771484375,745.3990478515625,144.740966796875,173.3426971435547,318.16455078125,67.6249771118164
2016-04-29,215.332763671875,1002.856689453125,260.31756591796875,201.1553955078125,461.09075927734375,738.2959594726562,145.65988159179688,170.5897979736328,310.3961181640625,66.2855224609375
2016-05-02,216.2640380859375,999.3757934570312,256.9381408691406,192.4962310791016,458.4000549316406,734.935791015625,143.95648193359375,167.8820343017578,305.44482421875,68.46602630615234
2016-05-03,213.82081604003903,980.1531372070312,257.0186462402344,187.69972229003903,449.52642822265625,723.9196166992188,141.67044067382812,166.12197875976562,314.4510192871094,67.8035888671875
2016-05-04,214.3247985839844,980.11376953125,259.1681213378906,182.05430603027344,453.7436828613281,725.961181640625,140.14634704589844,162.4213409423828,308.5606384277344,67.49976348876953
2016-05-05,213.70030212402344,977.0682373046876,260.3061218261719,182.22412109375,455.11767578125,723.196533203125,142.38758850097656,162.7823944091797,302.5422668457031,69.45365142822266
2016-05-06,212.3198089599609,978.2945556640624,257.3979797363281,185.577392578125,450.9385681152344,725.961181640625,142.4100341796875,166.3927764892578,306.5545654296875,70.51116180419922
2016-05-09,215.42041015625,993.779052734375,262.3980712890625,191.2652587890625,457.6368103027344,719.2409057617188,145.59262084960938,170.31903076171875,313.1278991699219,71.61962890625
2016-05-10,215.29991149902344,997.8728637695312,263.2027282714844,191.43507385253903,462.8847351074219,733.6597900390625,145.00991821289062,171.04110717773438,314.8779296875,71.94625091552734
2016-05-11,213.7331695556641,996.0536499023438,261.8004150390625,190.1192169189453,458.7054443359375,733.7447509765625,142.54449462890625,166.97943115234375,306.38385009765625,72.63101196289062
2016-05-12,217.5458984375,1014.9991455078124,264.16827392578125,196.7833404541016,461.8160095214844,725.62109375,142.63417053222656,170.1385040283203,309.11553955078125,74.44902038574219
2016-05-13,214.33575439453125,998.0704956054688,262.2831726074219,192.2840118408203,460.7662963867188,707.5867919921875,143.149658203125,166.84405517578125,302.9691772460937,74.02193450927734
2016-05-16,213.85366821289065,1009.0466918945312,267.3177795410156,189.9494171142578,463.7243041992188,719.8788452148438,147.6545867919922,159.5782012939453,301.7313537597656,75.42887115478516
2016-05-17,212.36363220214844,1016.5816040039062,265.1682434082031,191.8170623779297,463.4381103515625,709.500732421875,148.1476593017578,159.62332153320312,299.8104858398437,75.30560302734375
2016-05-18,212.67042541503903,1009.02685546875,262.2256774902344,192.24151611328125,461.75872802734375,702.2275390625,149.13381958007812,162.4213409423828,299.853271484375,75.15174865722656
2016-05-19,208.4303741455078,1011.340576171875,261.91534423828125,191.4775238037109,460.1939086914063,693.3804321289062,145.6150360107422,155.87754821777344,294.3470153808594,75.10953521728516
2016-05-20,204.7052459716797,1000.404296875,262.2831726074219,186.85079956054688,458.6099853515625,691.083740234375,148.0804443359375,154.65908813476562,291.9140625,75.42304992675781
2016-05-23,203.78494262695312,985.4337158203124,261.3291320800781,187.69972229003903,453.41937255859375,697.20849609375,155.47662353515625,151.9963836669922,295.24334716796875,74.28936004638672
2016-05-24,206.0747833251953,976.039794921875,262.0647888183594,190.6285858154297,453.3239440917969,700.1859741210938,156.0145263671875,152.98927307128906,294.64581298828125,74.01611328125
2016-05-25,208.4303741455078,999.2769165039062,269.73162841796875,199.4999542236328,461.30072021484375,714.6472778320312,159.60052490234375,158.0437774658203,300.1946716308594,71.21778106689453
2016-05-26,207.4771728515625,1008.077392578125,272.0190734863281,204.7209014892578,471.0332946777344,723.3666381835938,162.4693603515625,166.21221923828125,301.2190856933594,72.39321899414062
2016-05-27,213.57977294921875,1017.5502319335938,272.835205078125,206.4187774658203,476.1285400390625,732.5963134765625,161.057373046875,176.81768798828125,299.853271484375,74.42717742919922
2016-05-30,212.26502990722656,1042.764892578125,271.2144470214844,207.5648498535156,483.7999572753906,726.7693481445312,163.82720947265625,179.4803466796875,303.8228454589844,74.18985748291016
2016-05-31,209.8875274658203,1016.2647094726562,271.7087097167969,207.6921844482422,476.56732177734375,721.5377807617188,161.32266235351562,184.98614501953125,299.9813232421875,73.65941619873047
2016-06-01,208.95623779296875,1041.637939453125,270.1569519042969,203.7870483398437,480.2124328613281,727.4498291015625,166.07896423339844,178.93878173828125,310.0972900390625,74.17967224121094
2016-06-02,209.5369110107422,1048.203369140625,270.1109619140625,204.8907012939453,481.4909362792969,738.5512084960938,164.51649475097656,181.01475524902344,312.6156616210937,77.30657196044922
2016-06-03,210.28195190429688,1040.0557861328125,269.3753356933594,206.9281463623047,483.5328063964844,752.7146606445312,162.6323699951172,179.78025817871094,305.7435607910156,76.67565155029297
2016-06-06,209.21920776367188,1044.0321044921875,269.2259521484375,206.7159118652344,483.4754638671875,748.0360717773438,163.41358947753906,181.8834686279297,297.7190856933594,75.4579849243164
2016-06-07,209.2740020751953,1051.4852294921875,269.82354736328125,215.71463012695312,479.9069213867188,763.0929565429688,166.6993408203125,192.1709899902344,298.0604858398437,74.61499786376953
2016-06-08,209.0658416748047,1044.2720947265625,267.27178955078125,218.7283172607422,472.5408020019531,763.2205200195312,166.7223358154297,192.67393493652344,301.04840087890625,75.20417785644531
2016-06-09,212.8018951416016,1029.9453125,266.5361328125,216.09664916992188,457.7335510253906,745.5691528320312,162.72427368164062,191.98809814453125,299.853271484375,74.92269134521484
2016-06-10,214.0180206298828,1021.35302734375,266.9844665527344,214.44125366210932,455.8415832519531,744.0379028320312,161.16184997558594,188.3303375244141,299.7251892089844,73.72589111328125
2016-06-13,214.982177734375,1017.8566284179688,265.0418701171875,206.9281463623047,455.9573669433594,743.6552124023438,160.794189453125,184.53536987304688,292.2982482910156,72.80329895019531
2016-06-14,213.91943359375,1013.0009765625,264.80047607421875,207.9468688964844,453.6793518066406,736.424560546875,162.35665893554688,189.9305877685547,292.5116577148437,72.71886444091797
2016-06-15,215.7490997314453,1021.7927856445312,268.8695678710937,210.49366760253903,459.45166015625,744.0379028320312,165.22879028320312,197.5662384033203,300.4081115722656,74.26507568359375
2016-06-16,213.93038940429688,1022.3721923828124,267.1683654785156,207.1146850585937,457.9265441894531,748.12109375,163.09193420410156,197.52052307128903,295.7983093261719,73.73172760009766
2016-06-17,213.6236114501953,1040.07568359375,268.9729919433594,206.59483337402344,455.4169006347656,749.7374877929688,165.36663818359375,195.18865966796875,304.7618713378906,73.09013366699219
2016-06-20,216.97618103027344,1062.734375,269.4443359375,206.2915954589844,466.7105407714844,748.07861328125,164.5395050048828,197.42906188964844,311.1643981933594,73.18428802490234
2016-06-21,216.2969207763672,1059.4979248046875,268.202880859375,206.07498168945312,465.6872863769531,740.2950439453125,164.7462921142578,195.69161987304688,309.200927734375,73.82684326171875
2016-06-22,214.8506774902344,1066.0718994140625,269.3178100585937,207.0713653564453,463.1390380859375,739.0050048828125,163.00001525878906,194.68572998046875,309.9265441894531,73.75889587402344
2016-06-23,214.83973693847656,1057.159912109375,273.5937805175781,208.71755981445312,467.81097412109375,747.6914672851562,165.5504913330078,198.9379119873047,311.4205017089844,74.70867156982422
2016-06-24,208.48513793945312,1028.62646484375,267.1108703613281,200.09678649902344,461.2277221679688,738.8757934570312,162.72427368164062,193.17686462402344,303.7801513671875,73.65259552001953
2016-06-27,209.40545654296875,997.4151611328124,266.6625671386719,201.6129913330078,450.2815246582031,738.6608276367188,164.9530792236328,198.57212829589844,299.76788330078125,74.696044921875
2016-06-28,209.87657165527344,984.6672973632812,268.2718200683594,202.00289916992188,447.5594482421875,763.5165405273438,169.34170532226562,197.42906188964844,304.8471984863281,74.70623016357422
2016-06-29,211.8705902099609,1000.232666015625,270.7865905761719,205.03533935546875,454.3936462402344,760.119384765625,168.33071899414062,198.61785888671875,304.07891845703125,74.6009292602539
2016-06-30,212.36363220214844,1020.2943725585938,272.67559814453125,208.4143218994141,452.0577392578125,772.8051147460938,169.29576110839844,200.0809631347656,313.1278991699219,77.61862182617188
2016-07-01,213.30584716796875,999.4134521484376,272.2236633300781,208.24102783203125,452.6754150390625,771.988037109375,173.94863891601562,200.81253051757807,314.4510192871094,79.27355194091797
2016-07-04,216.209228515625,996.7562866210938,271.8296203613281,214.99899291992188,457.1349487304688,768.0747680664062,168.813232421875,203.921630859375,318.7194519042969,79.63414001464844
2016-07-05,217.61163330078125,993.19921875,270.16082763671875,212.35646057128903,453.85302734375,765.6235961914062,167.88265991210938,204.3788604736328,312.3595275878906,79.30072784423828
2016-07-07,216.4722137451172,971.0196533203124,274.8080139160156,212.13986206054688,446.825927734375,789.791259765625,170.2608184814453,201.22401428222656,310.1827087402344,78.57906341552734
2016-07-08,214.3905029296875,969.7410278320312,272.30474853515625,209.6272735595703,447.1927185058594,791.8555297851562,169.4680938720703,199.6237335205078,303.0971374511719,79.66763305664062
2016-07-11,217.4801788330078,984.7472534179688,278.0760192871094,216.4718780517578,453.69873046875,799.3379516601562,171.74282836914062,205.4761962890625,307.19482421875,83.15899658203125
2016-07-12,219.86862182617188,985.0668334960938,278.63232421875,226.73880004882807,454.2778625488281,795.8118286132812,171.225830078125,207.30506896972656,310.1399841308594,83.73797607421875
2016-07-13,221.0409393310547,996.3165283203124,277.61248779296875,226.2622833251953,460.938232421875,797.6609497070312,170.3297576904297,208.2195281982422,310.4814758300781,83.23471069335938
2016-07-14,220.19728088378903,1007.8256225585938,278.2151184082031,232.7170562744141,454.1620178222656,802.3912353515625,171.43263244628906,212.15167236328125,313.2558898925781,84.22411346435547
2016-07-15,221.79689025878903,977.2343139648438,283.6271057128906,230.24777221679688,414.1223449707031,809.7448120117188,171.53602600097656,211.69444274902344,323.4573059082031,84.51455688476562
2016-07-18,220.4931030273437,972.4784545898438,284.4963073730469,228.21173095703125,417.7518615722656,792.9305419921875,171.5704803466797,209.17970275878903,309.5851135253906,85.49230194091797
2016-07-19,223.0240173339844,985.5664672851562,282.3871154785156,233.19357299804688,419.6823425292969,769.8810424804688,171.6738739013672,209.95700073242188,310.99365234375,83.96084594726562
2016-07-20,224.1634521484375,997.0558471679688,285.5972900390625,231.76397705078125,418.1958312988281,779.9866943359375,172.5010528564453,211.37437438964844,310.2253723144531,83.93218994140625
2016-07-21,220.5150451660156,1001.4918823242188,284.7628479003906,226.9120941162109,416.9603271484375,782.6958618164062,172.74234008789062,206.3449249267578,314.02423095703125,84.59033966064453
2016-07-22,222.37759399414065,1005.108642578125,285.2727355957031,228.25503540039065,414.0837097167969,776.804443359375,172.22535705566406,204.3788604736328,313.5973815917969,85.85269165039062
2016-07-25,224.1086578369141,1025.281494140625,289.0160217285156,232.76036071777344,417.3271179199219,780.0296020507812,173.5350341796875,210.2313232421875,317.5242919921875,87.26953125
2016-07-26,224.3935394287109,1022.7374877929688,287.1270446777344,226.6954803466797,420.3580322265625,776.3743286132812,173.5350341796875,207.30506896972656,315.7315673828125,95.66944885253906
2016-07-27,221.99411010742188,1032.7337646484375,286.6981506347656,234.4498291015625,419.0645751953125,777.3634643554688,170.5365447998047,209.6369171142578,318.0365295410156,95.1361312866211
2016-07-28,224.8975067138672,1049.4417724609375,289.3636474609375,235.6627960205078,416.0335693359375,782.1369018554688,175.2927703857422,211.2372131347656,317.48162841796875,100.22010803222656
2016-07-29,222.3885498046875,1049.461669921875,288.8420715332031,227.77850341796875,414.6243286132813,793.44677734375,174.01756286621094,209.7740936279297,309.07293701171875,100.76263427734376
