Company,Weight,Ticker
Exxon Mobil Corp,3.812,XOM
General Electric Co,3.146,GE
"AT&T, Inc",1.916,T
Microsoft Corp,1.765,MSFT
"Citigroup, Inc",1.723,C
Bank of America Corp,1.65,BAC
Procter & Gamble Co,1.635,PG
"Cisco Systems, Inc",1.496,CSCO
Chevron Corp,1.487,CVX
Johnson & Johnson,1.412,JNJ
"American International Group, Inc",1.298,AIG
"Pfizer, Inc",1.256,PFE
International Business Machines Corp,1.188,IBM
JPMorgan Chase & Co,1.157,JPM
Intel Corp,1.121,INTC
"Altria Group, Inc",1.086,MO
ConocoPhillips,1.06,COP
"Apple, Inc",0.991,AAPL
"Google, Inc (Class A)",0.971,GOOGL
Hewlett-Packard Co,0.953,HPQ
"Verizon Communications, Inc",0.949,VZ
"Schlumberger, Ltd",0.929,SLB
Wells Fargo & Co,0.882,WFC
"PepsiCo, Inc",0.882,PEP
Coca-Cola Co,0.853,KO
"Merck & Co, Inc",0.835,MRK
"Wal-Mart Stores, Inc",0.782,WMT
Wachovia Corp,0.708,WFC
"Goldman Sachs Group, Inc",0.657,GS
Oracle Corp,0.637,ORCL
Abbott Laboratories,0.615,ABT
Boeing Co,0.609,BA
"United Parcel Service, Inc (Class B)",0.591,UPS
United Technologies Corp,0.59,UAL
Comcast Corp (Class A),0.555,CMCSA
American Express Co,0.52,AXP
"QUALCOMM, Inc",0.52,QCOM
"Time Warner, Inc",0.513,WBD
Walt Disney Co,0.504,DIS
3M Co,0.502,MMM
Morgan Stanley,0.49,MS
"UnitedHealth Group, Inc",0.482,UNH
"Medtronic, Inc",0.48,MDT
McDonald's Corp,0.48,MCD
"Dell, Inc",0.463,DELL
"Merrill Lynch & Co, Inc",0.46,BAC
"Amgen, Inc",0.454,AMGN
Wyeth,0.442,PFE
Fannie Mae,0.437,FNMA
CVS Caremark Corp,0.436,CVS
US Bancorp,0.422,USB
Bristol-Myers Squibb Co,0.417,BMY
Eli Lilly & Co,0.414,LLY
"Kraft Foods, Inc (Class A)",0.414,KHC
Sprint Nextel Corp,0.406,TMUS
"Home Depot, Inc",0.401,HD
Target Corp,0.401,TGT
Occidental Petroleum Corp,0.393,OXY
"Texas Instruments, Inc",0.387,TXN
"MetLife, Inc",0.386,MET
Schering-Plough Corp,0.379,MRK
News Corp (Class A),0.377,NWS
Exelon Corp,0.374,EXC
"Caterpillar, Inc",0.374,CAT
Bank of New York Mellon Corp,0.368,BK
"WellPoint, Inc",0.357,ELV
Walgreen Co,0.349,WBA
Monsanto Co,0.344,BAYRY
Du Pont (EI) de Nemours & Co,0.337,DD
"Prudential Financial, Inc",0.336,PRU
"Honeywell International, Inc",0.331,HON
"eBay, Inc",0.325,EBAY
EMC Corp,0.321,DELL
"Motorola, Inc",0.315,MSI
"Lowe's Cos, Inc",0.312,LOW
Emerson Electric Co,0.312,EMR
Dow Chemical Co,0.301,DOW
Marathon Oil Corp,0.292,COP
"Freeport-McMoRan Copper & Gold, Inc",0.29,FCX
Freddie Mac,0.287,FMCC
"Corning, Inc",0.286,GLW
Lockheed Martin Corp,0.283,LMT
"Anheuser-Busch Cos, Inc",0.281,BUD
"Gilead Sciences, Inc",0.28,GILD
Devon Energy Corp,0.272,DVN
Valero Energy Corp,0.272,VLO
"Baxter International, Inc",0.271,BAX
Colgate-Palmolive Co,0.269,CL
"Yahoo!, Inc",0.267,YHOO
Halliburton Co,0.258,HAL
General Dynamics Corp,0.252,GD
"Alcoa, Inc",0.249,AA
"Travelers Cos, Inc",0.249,TRV
Allstate Corp,0.249,ALL
Deere & Co,0.247,DE
"Lehman Brothers Holdings, Inc",0.243,LEHKQ
"Transocean, Inc",0.24,RIG
"CME Group, Inc",0.24,CME
FedEx Corp,0.238,FDX
"Washington Mutual, Inc",0.232,JPM
TXU Corp,0.23,VST
Union Pacific Corp,0.225,UNP
Kimberly-Clark Corp,0.221,KMB
Apache Corp,0.219,APA
"Hartford Financial Services Group, Inc",0.217,HIG
"Baker Hughes, Inc",0.216,BKR
"Amazoncom, Inc",0.213,AMZN
"Applied Materials, Inc",0.212,AMAT
Raytheon Co,0.209,RTX
"Aetna, Inc",0.207,CVS
"AFLAC, Inc",0.206,AFL
Costco Wholesale Corp,0.205,COST
Capital One Financial Corp,0.2,COF
Northrop Grumman Corp,0.2,NOC
State Street Corp,0.2,STT
Southern Co,0.2,SO
