Company,Weight,Ticker
Exxon Mobil Corp,3.532,XOM
Microsoft Corp,2.15,MSFT
General Electric Co,1.869,GE
JPMorgan Chase & Co,1.846,JPM
Procter & Gamble Co,1.811,PG
Johnson & Johnson,1.797,JNJ
"Apple, Inc",1.779,AAPL
"AT&T, Inc",1.707,T
International Business Machines Corp,1.679,IBM
Bank of America Corp,1.568,BAC
Chevron Corp,1.513,CVX
"Cisco Systems, Inc",1.454,CSCO
Wells Fargo & Co,1.41,WFC
Coca-Cola Co,1.333,KO
"Google, Inc (Class A)",1.278,GOOGL
Hewlett-Packard Co,1.199,HPQ
"Pfizer, Inc",1.196,PFE
Intel Corp,1.173,INTC
"Wal-Mart Stores, Inc",1.136,WMT
"Philip Morris International, Inc",1.01,PM
"Goldman Sachs Group, Inc",1.009,GS
"PepsiCo, Inc",0.979,PEP
"Verizon Communications, Inc",0.921,VZ
Oracle Corp,0.872,ORCL
Abbott Laboratories,0.819,ABT
"QUALCOMM, Inc",0.801,QCOM
"Schlumberger, Ltd",0.765,SLB
ConocoPhillips,0.717,COP
"Merck & Co, Inc",0.714,MRK
Wyeth,0.695,PFE
Occidental Petroleum Corp,0.681,OXY
"Citigroup, Inc",0.676,C
McDonald's Corp,0.667,MCD
"Amgen, Inc",0.655,AMGN
United Technologies Corp,0.614,UAL
"United Parcel Service, Inc (Class B)",0.602,UPS
CVS Caremark Corp,0.552,CVS
3M Co,0.552,MMM
The Walt Disney Co,0.547,DIS
Comcast Corp (Class A),0.519,CMCSA
Schering-Plough Corp,0.494,MRK
"Home Depot, Inc",0.486,HD
Bristol-Myers Squibb Co,0.478,BMY
Monsanto Co,0.453,BAYRY
"Gilead Sciences, Inc",0.451,GILD
Morgan Stanley,0.448,MS
US Bancorp,0.448,USB
"Medtronic, Inc",0.436,MDT
American Express Co,0.432,AXP
Boeing Co,0.421,BA
"Kraft Foods, Inc (Class A)",0.415,KHC
Colgate-Palmolive Co,0.407,CL
Walgreen Co,0.398,WBA
"Altria Group, Inc",0.395,MO
Target Corp,0.376,TGT
Bank of New York Mellon Corp,0.373,BK
EMC Corp,0.369,DELL
"Baxter International, Inc",0.368,BAX
"Time Warner, Inc",0.365,WBD
Eli Lilly & Co,0.358,LLY
Exelon Corp,0.35,EXC
"Caterpillar, Inc",0.342,CAT
"MetLife, Inc",0.334,MET
"Amazoncom, Inc",0.332,AMZN
"Lowe's Cos, Inc",0.331,LOW
Apache Corp,0.33,APA
Anadarko Petroleum Corp,0.33,OXY
Emerson Electric Co,0.323,EMR
"Texas Instruments, Inc",0.32,TXN
Devon Energy Corp,0.32,DVN
Dow Chemical Co,0.319,DOW
Union Pacific Corp,0.315,UNP
"UnitedHealth Group, Inc",0.312,UNH
Du Pont (EI) de Nemours & Co,0.311,DD
"Freeport-McMoRan Copper & Gold, Inc",0.303,FCX
"The Travelers Cos, Inc",0.299,TRV
"Honeywell International, Inc",0.299,HON
News Corp (Class A),0.289,NWS
"eBay, Inc",0.284,EBAY
"Dell, Inc",0.281,DELL
"Medco Health Solutions, Inc",0.281,CI
State Street Corp,0.279,STT
Celgene Corp,0.275,BMY
Lockheed Martin Corp,0.27,LMT
Southern Co,0.27,SO
"NIKE, Inc (Class B)",0.27,NKE
"Praxair, Inc",0.268,LIN
General Dynamics Corp,0.266,GD
