Company,Weight,Ticker
"Apple, Inc.",3.445,AAPL
Exxon Mobil Corp.,2.29,XOM
Microsoft Corp.,2.179,MSFT
Johnson & Johnson,1.716,JNJ
General Electric Co.,1.467,GE
"Berkshire Hathaway, Inc. (Class B)",1.438,BRK.B
Wells Fargo & Co.,1.407,WFC
JPMorgan Chase & Co.,1.294,JPM
Chevron Corp.,1.294,CVX
The Procter & Gamble Co.,1.294,PG
"Verizon Communications, Inc.",1.183,VZ
"Pfizer, Inc.",1.071,PFE
"AT&T, Inc.",1.044,T
Bank of America Corp.,1.025,BAC
International Business Machines Corp.,1.006,IBM
Intel Corp.,0.984,INTC
"Merck & Co., Inc.",0.976,MRK
The Coca-Cola Co.,0.961,KO
"Google, Inc. (Class A)",0.954,GOOGL
"Google, Inc. (Class C)",0.936,GOOGL
"Gilead Sciences, Inc.",0.919,GILD
"Citigroup, Inc.",0.897,C
"Facebook, Inc. (Class A)",0.879,META
The Walt Disney Co.,0.803,DIS
"PepsiCo, Inc.",0.801,PEP
Comcast Corp. (Class A),0.795,CMCSA
"Schlumberger, Ltd.",0.753,SLB
"Philip Morris International, Inc.",0.744,PM
"Cisco Systems, Inc.",0.733,CSCO
"QUALCOMM, Inc.",0.716,QCOM
Oracle Corp.,0.711,ORCL
"The Home Depot, Inc.",0.705,HD
"Amazon.com, Inc.",0.697,AMZN
"Wal-Mart Stores, Inc.",0.69,WMT
"Amgen, Inc.",0.609,AMGN
"Visa, Inc. (Class A)",0.6,V
Union Pacific Corp.,0.556,UNP
ConocoPhillips,0.536,COP
McDonald’s Corp.,0.532,MCD
CVS Health Corp.,0.526,CVS
"AbbVie, Inc.",0.524,ABBV
3M Co.,0.524,MMM
"Altria Group, Inc.",0.52,MO
United Technologies Corp.,0.513,UAL
The Boeing Co.,0.488,BA
Bristol-Myers Squibb Co.,0.484,BMY
"UnitedHealth Group, Inc.",0.479,UNH
American Express Co.,0.45,AXP
"Biogen Idec, Inc.",0.446,BIIB
"American International Group, Inc.",0.44,AIG
Celgene Corp.,0.433,BMY
U.S. Bancorp,0.43,USB
