Company,Weight,Ticker
"Apple, Inc.",6.681,AAPL
Microsoft Corp.,5.712,MSFT
"Amazon.com, Inc.",4.811,AMZN
"Facebook, Inc. Class A",2.26,META
"Alphabet, Inc. Class A",1.58,GOOG
"Alphabet, Inc. Class C",1.548,GOOG
"Berkshire Hathaway, Inc. Class B",1.515,BRK.B
Johnson & Johnson,1.407,JNJ
Procter & Gamble Co.,1.242,PG
"Visa, Inc. Class A",1.21,V
NVIDIA Corp.,1.198,NVDA
"Home Depot, Inc.",1.073,HD
"Mastercard, Inc. Class A",1.072,MA
"UnitedHealth Group, Inc.",1.064,UNH
JPMorgan Chase & Co.,1.053,JPM
"Verizon Communications, Inc.",0.883,VZ
"Adobe, Inc.",0.844,ADBE
"PayPal Holdings, Inc.",0.83,PYPL
"salesforce.com, Inc.",0.821,CRM
Walt Disney Co.,0.805,DIS
"Netflix, Inc.",0.792,NFLX
Intel Corp.,0.789,INTC
Comcast Corp. Class A,0.757,CMCSA
"Merck & Co., Inc.",0.753,MRK
"Pfizer, Inc.",0.732,PFE
"AT&T, Inc.",0.729,T
"Walmart, Inc.",0.697,WMT
Abbott Laboratories,0.692,ABT
"PepsiCo, Inc.",0.689,PEP
Coca-Cola Co.,0.685,KO
Bank of America Corp.,0.659,BAC
"Thermo Fisher Scientific, Inc.",0.628,TMO
"Cisco Systems, Inc.",0.598,CSCO
McDonald’s Corp.,0.586,MCD
Costco Wholesale Corp.,0.563,COST
"NIKE, Inc. Class B",0.56,NKE
"AbbVie, Inc.",0.556,ABBV
"Amgen, Inc.",0.534,AMGN
"Broadcom, Inc.",0.524,AVGO
Exxon Mobil Corp.,0.521,XOM
Accenture PLC Class A,0.516,ACN
Medtronic PLC,0.502,MDT
"NextEra Energy, Inc.",0.488,NEE
Danaher Corp.,0.488,DHR
Bristol-Myers Squibb Co.,0.488,BMY
Chevron Corp.,0.482,CVX
Union Pacific Corp.,0.48,UNP
"QUALCOMM, Inc.",0.476,QCOM
"Texas Instruments, Inc.",0.469,TXN
"Lowe’s Cos., Inc.",0.451,LOW
Linde PLC,0.449,LIN
"United Parcel Service, Inc. Class B",0.422,UPS
Eli Lilly & Co.,0.422,LLY
"Philip Morris International, Inc.",0.419,PM
"Honeywell International, Inc.",0.415,HON
Oracle Corp.,0.414,ORCL
International Business Machines Corp.,0.389,IBM
American Tower Corp. REIT,0.386,AMT
Starbucks Corp.,0.361,SBUX
Wells Fargo & Co.,0.348,WFC
"Advanced Micro Devices, Inc.",0.345,AMD
Lockheed Martin Corp.,0.338,LMT
"Charter Communications, Inc. Class A",0.335,CHTR
"ServiceNow, Inc.",0.333,NOW
3M Co.,0.332,MMM
"Fidelity National Information Services, Inc.",0.327,FIS
"Citigroup, Inc.",0.323,C
