Company,Weight,Ticker
"Apple, Inc.",6.086,AAPL
Microsoft Corp.,5.803,MSFT
"Amazon.com, Inc.",3.919,AMZN
"Facebook, Inc. Class A",2.216,META
"Alphabet, Inc. Class A",2.205,GOOG
"Alphabet, Inc. Class C",2.057,GOOG
"Tesla, Inc.",1.723,TSLA
NVIDIA Corp.,1.414,NVDA
"Berkshire Hathaway, Inc. Class B",1.386,BRK.B
JPMorgan Chase & Co.,1.34,JPM
Johnson & Johnson,1.164,JNJ
"Visa, Inc. Class A",1.03,V
"UnitedHealth Group, Inc.",1.009,UNH
"Home Depot, Inc.",0.956,HD
Procter & Gamble Co.,0.929,PG
Bank of America Corp.,0.861,BAC
Walt Disney Co.,0.842,DIS
"PayPal Holdings, Inc.",0.837,PYPL
"Mastercard, Inc. Class A",0.83,MA
"Adobe, Inc.",0.751,ADBE
"Netflix, Inc.",0.74,NFLX
"salesforce.com, Inc.",0.722,CRM
Comcast Corp. Class A,0.702,CMCSA
Exxon Mobil Corp.,0.682,XOM
"Pfizer, Inc.",0.66,PFE
"Cisco Systems, Inc.",0.628,CSCO
"Thermo Fisher Scientific, Inc.",0.616,TMO
"Verizon Communications, Inc.",0.612,VZ
Intel Corp.,0.592,INTC
Abbott Laboratories,0.574,ABT
"PepsiCo, Inc.",0.569,PEP
Coca-Cola Co.,0.558,KO
Accenture PLC Class A,0.556,ACN
"Walmart, Inc.",0.546,WMT
"Broadcom, Inc.",0.545,AVGO
Costco Wholesale Corp.,0.544,COST
Chevron Corp.,0.537,CVX
Danaher Corp.,0.53,DHR
"AT&T, Inc.",0.528,T
"AbbVie, Inc.",0.522,ABBV
Wells Fargo & Co.,0.522,WFC
"Merck & Co., Inc.",0.521,MRK
"NIKE, Inc. Class B",0.508,NKE
Eli Lilly & Co.,0.502,LLY
McDonald's Corp.,0.493,MCD
"Texas Instruments, Inc.",0.486,TXN
Medtronic PLC,0.461,MDT
"NextEra Energy, Inc.",0.422,NEE
Linde PLC,0.415,LIN
"Philip Morris International, Inc.",0.405,PM
"Intuit, Inc.",0.404,INTU
"Honeywell International, Inc.",0.401,HON
"QUALCOMM, Inc.",0.398,QCOM
