Company,Weight,Ticker
Exxon Mobil Corp,3.614,XOM
General Electric Co,3.22,GE
Microsoft Corp,2.139,MSFT
"Citigroup, Inc",2.123,C
Johnson & Johnson Co,1.698,JNJ
"Pfizer, Inc",1.663,PFE
Bank of America Corp,1.526,BAC
"American International Group, Inc",1.451,AIG
"Altria Group, Inc",1.38,MO
Procter & Gamble Co,1.376,PG
Intel Corp,1.356,INTC
ChevronTexaco Corp,1.317,CVX
International Business Machines Corp,1.156,IBM
JPMorgan Chase & Co,1.078,JPM
"Cisco Systems, Inc",1.036,CSCO
"Wal-Mart Stores, Inc",0.987,WMT
Wells Fargo & Co,0.894,WFC
"Amgen, Inc",0.889,AMGN
"ConocoPhillips, Inc",0.88,COP
"PepsiCo, Inc",0.856,PEP
"Verizon Communications, Inc",0.818,VZ
Coca-Cola Co (The),0.809,KO
"Time Warner, Inc",0.769,WBD
Hewlett-Packard Co,0.756,HPQ
"Dell, Inc",0.741,DELL
"Home Depot, Inc",0.738,HD
"SBC Communications, Inc",0.716,T
"United Parcel Service, Inc, (Class B)",0.692,UPS
Wachovia Corp,0.679,WFC
"QUALCOMM, Inc",0.66,QCOM
American Express Co,0.643,AXP
"UnitedHealth Group, Inc",0.642,UNH
Sprint Nextel Corp,0.631,TMUS
Abbott Laboratories,0.596,ABT
"Medtronic, Inc",0.587,MDT
"Comcast Corp, (Class A)",0.583,CMCSA
Wyeth,0.561,PFE
Lilly (Eli) & Co,0.549,LLY
"Merck & Co, Inc",0.54,MRK
Morgan Stanley,0.529,MS
"Goldman Sachs Group, Inc,",0.515,GS
"Merrill Lynch & Co, Inc",0.513,BAC
Tyco International Ltd,0.51,JCI
3M Co,0.507,MMM
Boeing Co,0.504,BA
"Texas Instruments, Inc",0.5,TXN
"Motorola, Inc",0.494,MSI
United Technologies Corp,0.481,UAL
Gillette Co,0.472,PG
"Viacom, Inc, (Class B)",0.472,PSKY
US Bancorp,0.464,USB
"Lowe's Companies, Inc",0.455,LOW
Schlumberger Ltd,0.449,SLB
Disney (Walt) Co (The),0.437,DIS
BellSouth Corp,0.436,T
Bristol-Myers Squibb Co,0.426,BMY
Oracle Corp,0.422,ORCL
"WellPoint, Inc",0.421,ELV
Target Corp,0.416,TGT
"eBay, Inc",0.408,EBAY
"Apple Computer, Inc",0.403,AAPL
Walgreen Co,0.402,WBA
Fannie Mae,0.392,FNMA
"Yahoo!, Inc",0.381,YHOO
McDonald's Corp,0.376,MCD
Dow Chemical Co,0.364,DOW
"Caterpillar, Inc",0.359,CAT
Freddie Mac,0.353,FMCC
Du Pont (EI) de Nemours,0.352,DD
News Corp (Class A),0.345,NWS
"MetLife, Inc",0.342,MET
Allstate Corp,0.328,ALL
Exelon Corp,0.324,EXC
Halliburton Co,0.315,HAL
Valero Energy Corp,0.313,VLO
"Prudential Financial, Inc",0.313,PRU
"Washington Mutual, Inc",0.312,JPM
Occidental Petroleum Corp,0.309,OXY
"Anheuser-Busch Cos, Inc",0.302,BUD
"Honeywell International, Inc",0.29,HON
"Lehman Brothers Holdings, Inc",0.286,LEHKQ
EMC Corp,0.282,DELL
Schering-Plough Corp,0.281,MRK
Devon Energy Corp,0.281,DVN
MBNA Corp,0.28,BAC
First Data Corp,0.279,FI
"Burlington Resources, Inc",0.278,COP
"St Paul Travelers Cos, Inc (The)",0.274,TRV
Emerson Electric Co,0.268,EMR
"Dominion Resources, Inc",0.266,D
"Corning, Inc",0.258,GLW
Kimberly-Clark Corp,0.256,KMB
Colgate-Palmolive Co,0.248,CL
"Applied Materials, Inc",0.247,AMAT
Symantec Corp,0.246,GEN
TXU Corp,0.245,VST
"Cardinal Health, Inc",0.245,CAH
Duke Energy Corp,0.244,DUK
Southern Co (The),0.242,SO
FedEx Corp,0.239,FDX
"SunTrust Banks, Inc",0.23,TFC
Marathon Oil Corp,0.228,COP
"Aetna, Inc",0.226,CVS
"Automatic Data Processing, Inc",0.226,ADP
ALLTEL Corp,0.225,VZ
"Baxter International, Inc",0.225,BAX
Apache Corp,0.224,APA
General Dynamics Corp,0.218,GD
CVS Corp,0.213,CVS
"Hartford Financial Services Group, Inc (The)",0.209,HIG
Capital One Financial Corp,0.208,COF
"Bank of New York Co, Inc (The)",0.207,BK
Guidant Corp,0.206,BSX
"AFLAC, Inc",0.206,AFL
Anadarko Petroleum Corp,0.205,OXY
SLM Corp,0.202,SLM
"Gilead Sciences, Inc",0.201,GILD
"Caremark Rx, Inc",0.201,CVS
Burlington Northern Santa Fe Corp,0.2,BRK.B
"HCA, Inc",0.198,HCA
Lockheed Martin Corp,0.198,LMT
Cendant Corp,0.195,HOUS
Carnival Corp,0.195,CCL
BB&T Corp,0.193,TFC
