Company,Weight,Ticker
NVIDIA Corp.,7.984,NVDA
Microsoft Corp.,6.752,MSFT
"Apple, Inc.",6.627,AAPL
"Amazon.com, Inc. ",3.737,AMZN
"Meta Platforms, Inc. Class A",2.793,META
"Broadcom, Inc.",2.721,AVGO
"Alphabet, Inc. Class A",2.48,GOOG
"Tesla, Inc. ",2.188,TSLA
"Alphabet, Inc. Class C",1.994,GOOG
"Berkshire Hathaway, Inc. Class B ",1.617,BRK.B
JPMorgan Chase & Co.,1.521,JPM
Eli Lilly & Co.,1.064,LLY
"Visa, Inc. Class A",1.017,V
"Netflix, Inc. ",0.893,NFLX
Exxon Mobil Corp.,0.843,XOM
"Mastercard, Inc. Class A",0.823,MA
Oracle Corp.,0.817,ORCL
"Walmart, Inc.",0.793,WMT
Johnson & Johnson,0.783,JNJ
"Palantir Technologies, Inc. Class A ",0.727,PLTR
Costco Wholesale Corp.,0.72,COST
"AbbVie, Inc.",0.717,ABBV
"Home Depot, Inc.",0.707,HD
Procter & Gamble Co.,0.631,PG
Bank of America Corp.,0.616,BAC
General Electric Co.,0.559,GE
"UnitedHealth Group, Inc.",0.548,UNH
Chevron Corp.,0.525,CVX
"Cisco Systems, Inc.",0.475,CSCO
Wells Fargo & Co.,0.471,WFC
International Business Machines Corp.,0.461,IBM
"Advanced Micro Devices, Inc. ",0.46,AMD
Coca-Cola Co.,0.45,KO
"Philip Morris International, Inc.",0.443,PM
"Goldman Sachs Group, Inc.",0.423,GS
Abbott Laboratories,0.409,ABT
"Salesforce, Inc.",0.397,CRM
RTX Corp.,0.393,RTX
"Caterpillar, Inc.",0.392,CAT
Linde PLC,0.391,LIN
McDonald's Corp.,0.38,MCD
"Merck & Co., Inc.",0.368,MRK
Walt Disney Co.,0.361,DIS
"Uber Technologies, Inc. ",0.358,UBER
"AT&T, Inc.",0.354,T
AppLovin Corp. Class A ,0.341,APP
Morgan Stanley,0.338,MS
"PepsiCo, Inc.",0.337,PEP
"ServiceNow, Inc. ",0.336,NOW
"Intuit, Inc.",0.334,INTU
"Micron Technology, Inc.",0.328,MU
"Citigroup, Inc.",0.328,C
"Verizon Communications, Inc.",0.325,VZ
"Thermo Fisher Scientific, Inc.",0.321,TMO
American Express Co.,0.316,AXP
"QUALCOMM, Inc.",0.315,QCOM
"Booking Holdings, Inc.",0.307,BKNG
Lam Research Corp.,0.297,LRCX
"Blackrock, Inc.",0.294,BLK
"GE Vernova, Inc.",0.293,GEV
"Texas Instruments, Inc.",0.293,TXN
"Applied Materials, Inc.",0.288,AMAT
Boeing Co. ,0.286,BA
Charles Schwab Corp.,0.286,SCHW
"TJX Cos., Inc.",0.283,TJX
"Intuitive Surgical, Inc. ",0.281,ISRG
"NextEra Energy, Inc.",0.273,NEE
Accenture PLC Class A,0.269,ACN
"S&P Global, Inc.",0.267,SPGI
"Amgen, Inc.",0.266,AMGN
Amphenol Corp. Class A,0.265,APH
"Arista Networks, Inc. ",0.263,ANET
"Adobe, Inc. ",0.262,ADBE
Intel Corp. ,0.258,INTC
Eaton Corp. PLC,0.255,ETN
"Pfizer, Inc.",0.254,PFE
Progressive Corp.,0.254,PGR
Boston Scientific Corp. ,0.254,BSX
KLA Corp.,0.25,KLAC
"Lowe's Cos., Inc.",0.247,LOW
Union Pacific Corp.,0.246,UNP
"Gilead Sciences, Inc.",0.241,GILD
"Palo Alto Networks, Inc. ",0.238,PANW
Capital One Financial Corp.,0.238,COF
"Honeywell International, Inc.",0.234,HON
Stryker Corp.,0.223,SYK
Danaher Corp.,0.221,DHR
"Blackstone, Inc.",0.221,BX
"Crowdstrike Holdings, Inc. Class A ",0.214,CRWD
Medtronic PLC,0.214,MDT
"Analog Devices, Inc.",0.214,ADI
"Welltower, Inc. REIT",0.209,WELL
"Automatic Data Processing, Inc.",0.208,ADP
ConocoPhillips,0.207,COP
"T-Mobile U.S., Inc.",0.203,TMUS
Comcast Corp. Class A,0.203,CMCSA
Deere & Co.,0.202,DE
"Altria Group, Inc.",0.195,MO
"Robinhood Markets, Inc. Class A ",0.194,HOOD
"Prologis, Inc. REIT",0.186,PLD
Chubb Ltd.,0.183,CB
Southern Co.,0.183,SO
Constellation Energy Corp.,0.18,CEG
Lockheed Martin Corp.,0.18,LMT
"DoorDash, Inc. Class A ",0.176,DASH
"Vertex Pharmaceuticals, Inc. ",0.176,VRTX
"Marsh & McLennan Cos., Inc.",0.174,MRSH
"CME Group, Inc.",0.171,CME
Parker-Hannifin Corp.,0.17,PH
"Intercontinental Exchange, Inc. ",0.169,ICE
Duke Energy Corp.,0.169,DUK
Starbucks Corp.,0.169,SBUX
McKesson Corp.,0.168,MCK
CVS Health Corp.,0.168,CVS
"Cadence Design Systems, Inc. ",0.168,CDNS
Trane Technologies PLC,0.165,TT
Newmont Corp.,0.162,NEM
Bristol-Myers Squibb Co.,0.161,BMY
"O'Reilly Automotive, Inc. ",0.16,ORLY
"Synopsys, Inc. ",0.16,SNPS
American Tower Corp. REIT,0.158,AMT
"KKR & Co., Inc.",0.156,KKR
General Dynamics Corp.,0.151,GD
"NIKE, Inc. Class B",0.145,NKE
3M Co.,0.145,MMM
Northrop Grumman Corp.,0.144,NOC
"Waste Management, Inc.",0.143,WM
Royal Caribbean Cruises Ltd.,0.143,RCL
"Mondelez International, Inc. Class A",0.142,MDLZ
Sherwin-Williams Co.,0.141,SHW
Arthur J Gallagher & Co.,0.139,AJG
"PNC Financial Services Group, Inc.",0.139,PNC
"Howmet Aerospace, Inc.",0.139,HWM
"Williams Cos., Inc.",0.136,WMB
Cigna Group,0.135,CI
Aon PLC Class A,0.135,AON
Bank of New York Mellon Corp.,0.135,BK
"Equinix, Inc. REIT",0.134,EQIX
"Coinbase Global, Inc. Class A ",0.134,COIN
"Motorola Solutions, Inc.",0.134,MSI
U.S. Bancorp,0.132,USB
"TransDigm Group, Inc.",0.13,TDG
Emerson Electric Co.,0.129,EMR
Moody's Corp.,0.129,MCO
