Company,Weight,Ticker
"Apple, Inc.",7.005,AAPL
Microsoft Corp.,6.531,MSFT
"Amazon.com, Inc.",3.213,AMZN
NVIDIA Corp.,2.991,NVDA
"Alphabet, Inc. Class A",2.162,GOOG
"Tesla, Inc.",1.924,TSLA
"Meta Platforms, Inc. Class A",1.858,META
"Alphabet, Inc. Class C",1.853,GOOG
"Berkshire Hathaway, Inc. Class B",1.779,BRK.B
Exxon Mobil Corp.,1.311,XOM
"UnitedHealth Group, Inc.",1.3,UNH
Eli Lilly & Co.,1.193,LLY
JPMorgan Chase & Co.,1.174,JPM
Johnson & Johnson,1.044,JNJ
"Visa, Inc. Class A",1.029,V
Procter & Gamble Co.,0.957,PG
"Broadcom, Inc.",0.954,AVGO
"Mastercard, Inc. Class A",0.917,MA
"Home Depot, Inc.",0.846,HD
Chevron Corp.,0.833,CVX
"AbbVie, Inc.",0.733,ABBV
"Merck & Co., Inc.",0.727,MRK
Costco Wholesale Corp.,0.697,COST
"PepsiCo, Inc.",0.649,PEP
"Adobe, Inc.",0.647,ADBE
"Walmart, Inc.",0.636,WMT
"Cisco Systems, Inc.",0.61,CSCO
Coca-Cola Co.,0.607,KO
"Salesforce, Inc.",0.55,CRM
"Thermo Fisher Scientific, Inc.",0.544,TMO
Accenture PLC Class A,0.539,ACN
McDonald's Corp.,0.535,MCD
Bank of America Corp.,0.527,BAC
"Pfizer, Inc.",0.521,PFE
Comcast Corp. Class A,0.508,CMCSA
Linde PLC,0.506,LIN
Abbott Laboratories,0.468,ABT
"Netflix, Inc.",0.466,NFLX
Oracle Corp.,0.464,ORCL
"Advanced Micro Devices, Inc.",0.463,AMD
Danaher Corp.,0.454,DHR
Wells Fargo & Co.,0.416,WFC
Intel Corp.,0.414,INTC
Walt Disney Co.,0.413,DIS
"Texas Instruments, Inc.",0.402,TXN
"Amgen, Inc.",0.4,AMGN
"Philip Morris International, Inc.",0.4,PM
ConocoPhillips,0.399,COP
"Intuit, Inc.",0.398,INTU
"Caterpillar, Inc.",0.388,CAT
"Verizon Communications, Inc.",0.379,VZ
International Business Machines Corp.,0.356,IBM
Union Pacific Corp.,0.346,UNP
"QUALCOMM, Inc.",0.345,QCOM
"Honeywell International, Inc.",0.342,HON
"Lowe's Cos., Inc.",0.339,LOW
Bristol-Myers Squibb Co.,0.338,BMY
General Electric Co.,0.335,GE
"S&P Global, Inc.",0.331,SPGI
"NIKE, Inc. Class B",0.326,NKE
"Applied Materials, Inc.",0.324,AMAT
"NextEra Energy, Inc.",0.323,NEE
"ServiceNow, Inc.",0.317,NOW
"United Parcel Service, Inc. Class B",0.314,UPS
"Booking Holdings, Inc.",0.306,BKNG
Boeing Co.,0.303,BA
"AT&T, Inc.",0.299,T
"Goldman Sachs Group, Inc.",0.297,GS
RTX Corp.,0.292,RTX
Starbucks Corp.,0.291,SBUX
Medtronic PLC,0.29,MDT
Morgan Stanley,0.29,MS
"Prologis, Inc. REIT",0.289,PLD
Deere & Co.,0.287,DE
"Intuitive Surgical, Inc.",0.286,ISRG
"Elevance Health, Inc.",0.286,ELV
"TJX Cos., Inc.",0.284,TJX
"Automatic Data Processing, Inc.",0.276,ADP
"Mondelez International, Inc. Class A",0.263,MDLZ
"Marsh & McLennan Cos., Inc.",0.262,MRSH
"Gilead Sciences, Inc.",0.26,GILD
Stryker Corp.,0.257,SYK
Lockheed Martin Corp.,0.255,LMT
"BlackRock, Inc.",0.253,BLK
CVS Health Corp.,0.25,CVS
"Vertex Pharmaceuticals, Inc.",0.249,VRTX
"Regeneron Pharmaceuticals, Inc.",0.245,REGN
"Analog Devices, Inc.",0.244,ADI
American Express Co.,0.242,AXP
Chubb Ltd.,0.238,CB
Eaton Corp. PLC,0.237,ETN
Cigna Group,0.236,CI
Lam Research Corp.,0.233,LRCX
Schlumberger NV,0.231,SLB
Charles Schwab Corp.,0.227,SCHW
Progressive Corp.,0.227,PGR
"Zoetis, Inc.",0.223,ZTS
"Citigroup, Inc.",0.221,C
Boston Scientific Corp.,0.215,BSX
