Company,Weight,Ticker
"Apple, Inc.",6.928,AAPL
Microsoft Corp.,5.765,MSFT
"Amazon.com, Inc.",3.324,AMZN
"Tesla, Inc.",2.345,TSLA
"Alphabet, Inc. Class A",1.904,GOOG
"Alphabet, Inc. Class C",1.711,GOOG
"Berkshire Hathaway, Inc. Class B",1.598,BRK.B
"UnitedHealth Group, Inc.",1.568,UNH
Johnson & Johnson,1.426,JNJ
Exxon Mobil Corp.,1.208,XOM
"Meta Platforms, Inc. Class A",1.027,META
JPMorgan Chase & Co.,1.017,JPM
NVIDIA Corp.,1.009,NVDA
Procter & Gamble Co.,1.002,PG
"Visa, Inc. Class A",0.964,V
"Home Depot, Inc.",0.941,HD
Chevron Corp.,0.859,CVX
Eli Lilly & Co.,0.846,LLY
"Pfizer, Inc.",0.815,PFE
"Mastercard, Inc. Class A",0.805,MA
"AbbVie, Inc.",0.788,ABBV
"PepsiCo, Inc.",0.747,PEP
"Merck & Co., Inc.",0.724,MRK
Coca-Cola Co.,0.723,KO
Bank of America Corp.,0.701,BAC
Costco Wholesale Corp.,0.694,COST
"Thermo Fisher Scientific, Inc.",0.66,TMO
"Walmart, Inc.",0.614,WMT
"Broadcom, Inc.",0.595,AVGO
Walt Disney Co.,0.571,DIS
McDonald's Corp.,0.563,MCD
Abbott Laboratories,0.562,ABT
Danaher Corp.,0.561,DHR
"Cisco Systems, Inc.",0.55,CSCO
Accenture PLC Class A,0.539,ACN
"Verizon Communications, Inc.",0.529,VZ
"NextEra Energy, Inc.",0.511,NEE
Wells Fargo & Co.,0.506,WFC
Bristol-Myers Squibb Co.,0.504,BMY
"Salesforce, Inc.",0.475,CRM
"Texas Instruments, Inc.",0.469,TXN
Linde PLC,0.446,LIN
ConocoPhillips,0.432,COP
Comcast Corp. Class A,0.429,CMCSA
"Adobe, Inc.",0.427,ADBE
"Philip Morris International, Inc.",0.427,PM
"QUALCOMM, Inc.",0.421,QCOM
CVS Health Corp.,0.416,CVS
Union Pacific Corp.,0.405,UNP
Raytheon Technologies Corp.,0.401,RTX
"Amgen, Inc.",0.4,AMGN
"Lowe's Cos., Inc.",0.398,LOW
"United Parcel Service, Inc. Class B",0.393,UPS
"Honeywell International, Inc.",0.373,HON
Charles Schwab Corp.,0.364,SCHW
"AT&T, Inc.",0.363,T
"Elevance Health, Inc.",0.363,ELV
"Intuit, Inc.",0.362,INTU
International Business Machines Corp.,0.356,IBM
Medtronic PLC,0.356,MDT
Intel Corp.,0.351,INTC
Morgan Stanley,0.351,MS
"NIKE, Inc. Class B",0.349,NKE
"Netflix, Inc.",0.348,NFLX
"S&P Global, Inc.",0.345,SPGI
"Advanced Micro Devices, Inc.",0.34,AMD
"Goldman Sachs Group, Inc.",0.333,GS
American Tower Corp. REIT,0.332,AMT
"PayPal Holdings, Inc.",0.331,PYPL
Starbucks Corp.,0.32,SBUX
"Automatic Data Processing, Inc.",0.312,ADP
Deere & Co.,0.309,DE
Oracle Corp.,0.308,ORCL
Lockheed Martin Corp.,0.303,LMT
"Caterpillar, Inc.",0.287,CAT
Cigna Corp.,0.281,CI
"BlackRock, Inc.",0.275,BLK
American Express Co.,0.269,AXP
"T-Mobile US, Inc.",0.268,TMUS
"Citigroup, Inc.",0.268,C
"Gilead Sciences, Inc.",0.257,GILD
"ServiceNow, Inc.",0.253,NOW
"Chubb, Ltd.",0.252,CB
"Prologis, Inc. REIT",0.25,PLD
"Mondelez International, Inc. Class A",0.249,MDLZ
"Marsh & McLennan Cos., Inc.",0.247,MRSH
"Vertex Pharmaceuticals, Inc.",0.246,VRTX
"Regeneron Pharmaceuticals, Inc.",0.246,REGN
"Analog Devices, Inc.",0.242,ADI
"TJX Cos., Inc.",0.241,TJX
"Altria Group, Inc.",0.241,MO
Southern Co.,0.24,SO
Duke Energy Corp.,0.237,DUK
"Applied Materials, Inc.",0.237,AMAT
"Zoetis, Inc.",0.231,ZTS
Target Corp.,0.228,TGT
Northrop Grumman Corp.,0.228,NOC
Stryker Corp.,0.226,SYK
Progressive Corp.,0.225,PGR
General Electric Co.,0.225,GE
Boeing Co.,0.224,BA
"Intuitive Surgical, Inc.",0.223,ISRG
"EOG Resources, Inc.",0.217,EOG
