Company,Weight,Ticker
Exxon Mobil Corp,3.962,XOM
General Electric Co,2.492,GE
Procter & Gamble Co,2.077,PG
Microsoft Corp,2.059,MSFT
Johnson & Johnson,1.902,JNJ
JPMorgan Chase & Co,1.69,JPM
Chevron Corp,1.665,CVX
"AT&T, Inc",1.617,T
Bank of America Corp,1.569,BAC
International Business Machines Corp,1.557,IBM
"Wal-Mart Stores, Inc",1.319,WMT
"Cisco Systems, Inc",1.31,CSCO
"Pfizer, Inc",1.222,PFE
Wells Fargo & Co,1.22,WFC
Hewlett-Packard Co,1.112,HPQ
"Citigroup, Inc",1.098,C
"PepsiCo, Inc",1.097,PEP
ConocoPhillips,1.094,COP
Intel Corp,1.035,INTC
Coca-Cola Co,1.033,KO
"Apple, Inc",0.99,AAPL
"Philip Morris International, Inc",0.974,PM
"Google, Inc, (Class A)",0.94,GOOGL
"Schlumberger, Ltd",0.92,SLB
"Verizon Communications, Inc",0.898,VZ
Abbott Laboratories,0.872,ABT
Oracle Corp,0.782,ORCL
"QUALCOMM, Inc",0.693,QCOM
McDonald's Corp,0.682,MCD
"Merck & Co, Inc",0.664,MRK
"United Parcel Service, Inc (Class B)",0.623,UPS
US Bancorp,0.616,USB
"Amgen, Inc",0.616,AMGN
United Technologies Corp,0.569,UAL
Walt Disney Co,0.566,DIS
Occidental Petroleum Corp,0.565,OXY
Comcast Corp (Class A),0.563,CMCSA
"Medtronic, Inc",0.555,MDT
"Goldman Sachs Group, Inc",0.546,GS
Monsanto Co,0.535,BAYRY
"Kraft Foods, Inc (Class A)",0.488,KHC
Wyeth,0.484,PFE
CVS Caremark Corp,0.475,CVS
3M Co,0.469,MMM
"Time Warner, Inc",0.461,WBD
"Anheuser-Busch Cos, Inc",0.459,BUD
Eli Lilly & Co,0.433,LLY
"Home Depot, Inc",0.432,HD
Boeing Co,0.417,BA
"Gilead Sciences, Inc",0.412,GILD
Bristol-Myers Squibb Co,0.406,BMY
"Baxter International, Inc",0.405,BAX
Exelon Corp,0.405,EXC
American Express Co,0.404,AXP
"Altria Group, Inc",0.401,MO
Devon Energy Corp,0.396,DVN
"Merrill Lynch & Co, Inc",0.38,BAC
"MetLife, Inc",0.378,MET
Colgate-Palmolive Co,0.374,CL
Bank of New York Mellon Corp,0.367,BK
Target Corp,0.364,TGT
Lockheed Martin Corp,0.359,LMT
Du Pont (EI) de Nemours & Co,0.358,DD
"Caterpillar, Inc",0.357,CAT
Union Pacific Corp,0.356,UNP
"Transocean, Inc",0.345,RIG
Apache Corp,0.343,APA
"Lowe's Cos, Inc",0.342,LOW
Emerson Electric Co,0.311,EMR
"Honeywell International, Inc",0.304,HON
"UnitedHealth Group, Inc",0.304,UNH
"Prudential Financial, Inc",0.302,PRU
Walgreen Co,0.301,WBA
Schering-Plough Corp,0.295,MRK
Dow Chemical Co,0.289,DOW
General Dynamics Corp,0.288,GD
Southern Co,0.286,SO
Celgene Corp,0.283,BMY
"Dell, Inc",0.282,DELL
Halliburton Co,0.28,HAL
Costco Wholesale Corp,0.278,COST
"Texas Instruments, Inc",0.277,TXN
Marathon Oil Corp,0.277,COP
"AFLAC, Inc",0.275,AFL
News Corp (Class A),0.271,NWS
"Covidien, Ltd",0.266,MDT
Kimberly-Clark Corp,0.264,KMB
"Travelers Cos, Inc",0.263,TRV
"NIKE, Inc (Class B)",0.258,NKE
Burlington Northern Santa Fe Corp,0.256,BRK.B
"PNC Financial Services Group, Inc",0.254,PNC
"XTO Energy, Inc",0.251,XOM
Morgan Stanley,0.25,MS
Allstate Corp,0.246,ALL
"Dominion Resources, Inc",0.244,D
Norfolk Southern Corp,0.244,NSC
"CME Group, Inc",0.243,CME
EMC Corp,0.243,DELL
FedEx Corp,0.242,FDX
"Corning, Inc",0.242,GLW
State Street Corp,0.242,STT
"eBay, Inc",0.24,EBAY
Charles Schwab Corp,0.239,SCHW
"Yahoo!, Inc",0.236,YHOO
"WellPoint, Inc",0.236,ELV
Hess Corp,0.229,CVX
"Amazoncom, Inc",0.228,AMZN
"General Mills, Inc",0.226,GIS
"Thermo Fisher Scientific, Inc",0.226,TMO
"Medco Health Solutions, Inc",0.223,CI
Anadarko Petroleum Corp,0.223,OXY
"Praxair, Inc",0.222,LIN
Raytheon Co,0.219,RTX
CSX Corp,0.219,CSX
"EOG Resources, Inc",0.218,EOG
Duke Energy Corp,0.216,DUK
"Automatic Data Processing, Inc",0.214,ADP
