Company,Weight,Ticker
"Apple, Inc.",3.688,AAPL
Microsoft Corp.,2.658,MSFT
"Facebook, Inc. Class A",1.877,META
"Amazon.com, Inc.",1.776,AMZN
"Berkshire Hathaway, Inc. Class B",1.635,BRK.B
Johnson & Johnson,1.617,JNJ
Exxon Mobil Corp.,1.61,XOM
JPMorgan Chase & Co.,1.557,JPM
"Alphabet, Inc. Class A",1.343,GOOG
"Alphabet, Inc. Class C",1.342,GOOG
Bank of America Corp.,1.152,BAC
Wells Fargo & Co.,1.141,WFC
"AT&T, Inc.",1.116,T
Procter & Gamble Co.,1.075,PG
Chevron Corp.,1.032,CVX
"Pfizer, Inc.",0.987,PFE
General Electric Co.,0.97,GE
"Verizon Communications, Inc.",0.936,VZ
"Citigroup, Inc.",0.918,C
"Home Depot, Inc.",0.893,HD
"Visa, Inc. Class A",0.892,V
"UnitedHealth Group, Inc.",0.877,UNH
Comcast Corp. Class A,0.839,CMCSA
Intel Corp.,0.831,INTC
"Merck & Co., Inc.",0.811,MRK
Coca-Cola Co.,0.802,KO
"Philip Morris International, Inc.",0.799,PM
"Cisco Systems, Inc.",0.78,CSCO
"DowDuPont, Inc.",0.749,DOW
"PepsiCo, Inc.",0.738,PEP
Walt Disney Co.,0.706,DIS
Oracle Corp.,0.677,ORCL
"AbbVie, Inc.",0.656,ABBV
Boeing Co.,0.654,BA
"Amgen, Inc.",0.63,AMGN
"Mastercard, Inc. Class A",0.611,MA
McDonald’s Corp.,0.588,MCD
International Business Machines Corp.,0.583,IBM
3M Co.,0.581,MMM
"Altria Group, Inc.",0.564,MO
"Wal-MartStores, Inc.",0.53,WMT
Celgene Corp.,0.528,BMY
"Honeywell International, Inc.",0.501,HON
NVIDIA Corp.,0.497,NVDA
"Gilead Sciences, Inc.",0.49,GILD
Medtronic PLC,0.488,MDT
Bristol-Myers Squibb Co.,0.484,BMY
"Broadcom, Ltd.",0.457,AVGO
"Schlumberger, Ltd.",0.45,SLB
Union Pacific Corp.,0.43,UNP
Abbott Laboratories,0.429,ABT
"Priceline Group, Inc.",0.417,BKNG
"Texas Instruments, Inc.",0.411,TXN
United Technologies Corp.,0.4,UAL
US Bancorp,0.395,USB
"Goldman Sachs Group, Inc.",0.395,GS
Accenture PLC Class A,0.387,ACN
Eli Lilly & Co.,0.385,LLY
CVS Health Corp.,0.384,CVS
"United Parcel Service, Inc. Class B",0.382,UPS
"Time Warner, Inc.",0.367,WBD
"Netflix, Inc.",0.361,NFLX
Starbucks Corp.,0.36,SBUX
Lockheed Martin Corp.,0.359,LMT
"QUALCOMM, Inc.",0.355,QCOM
"Thermo Fisher Scientific, Inc.",0.351,TMO
"Adobe Systems, Inc.",0.342,ADBE
"Caterpillar, Inc.",0.341,CAT
"Charter Communications, Inc. Class A",0.338,CHTR
"PayPal Holdings, Inc.",0.335,PYPL
Costco Wholesale Corp.,0.334,COST
"Walgreens Boots Alliance, Inc.",0.33,WBA
Allergan PLC,0.319,ABBV
"NextEra Energy, Inc.",0.318,NEE
"NIKE, Inc. Class B",0.316,NKE
Morgan Stanley,0.316,MS
"Lowe’s Cos., Inc.",0.313,LOW
"Chubb, Ltd.",0.307,CB
American Express Co.,0.307,AXP
"Biogen, Inc.",0.307,BIIB
"PNC Financial Services Group, Inc.",0.299,PNC
Colgate-Palmolive Co.,0.298,CL
"salesforce.com, Inc.",0.296,CRM
"Mondelez International, Inc. Class A",0.284,MDLZ
ConocoPhillips,0.282,COP
Duke Energy Corp.,0.272,DUK
American Tower Corp. REIT,0.27,AMT
General Dynamics Corp.,0.265,GD
"EOG Resources, Inc.",0.259,EOG
"Applied Materials, Inc.",0.257,AMAT
"American International Group, Inc.",0.257,AIG
"BlackRock, Inc.",0.257,BLK
FedEx Corp.,0.256,FDX
"MetLife, Inc.",0.256,MET
Bank of New York Mellon Corp.,0.255,BK
Raytheon Co.,0.253,RTX
General Motors Co.,0.245,GM
"Aetna, Inc.",0.244,CVS
Monsanto Co.,0.244,BAYRY
Danaher Corp.,0.242,DHR
Charles Schwab Corp.,0.241,SCHW
"Simon Property Group, Inc. REIT",0.233,SPG
Northrop Grumman Corp.,0.233,NOC
"Anthem, Inc.",0.232,ELV
CSX Corp.,0.23,CSX
"Dominion Energy, Inc.",0.229,D
Southern Co.,0.228,SO
"Automatic Data Processing, Inc.",0.227,ADP
Occidental Petroleum Corp.,0.227,OXY
"Activision Blizzard, Inc.",0.226,MSFT
Cigna Corp.,0.218,CI
"TJX Cos., Inc.",0.217,TJX
Ford Motor Co.,0.217,F
Kraft Heinz Co.,0.214,KHC
"Illinois Tool Works, Inc.",0.214,ITW
