Company,Weight,Ticker
"Apple, Inc.",3.717,AAPL
Microsoft Corp.,2.092,MSFT
Exxon Mobil Corp.,1.833,XOM
Johnson & Johnson,1.527,JNJ
General Electric Co.,1.505,GE
"Berkshire Hathaway, Inc. (Class B)",1.445,BRK.B
Wells Fargo & Co.,1.419,WFC
JPMorgan Chase & Co.,1.334,JPM
"Facebook, Inc. (Class A)",1.203,META
"AT&T, Inc.",1.185,T
"Amazon.com, Inc.",1.161,AMZN
Procter & Gamble Co.,1.154,PG
"Pfizer, Inc.",1.145,PFE
"Alphabet, Inc. (Class A)",1.094,GOOG
"Alphabet, Inc. (Class C)",1.065,GOOG
"Verizon Communications, Inc.",1.046,VZ
Bank of America Corp.,0.964,BAC
Walt Disney Co.,0.938,DIS
Coca-Cola Co.,0.927,KO
"Citigroup, Inc.",0.882,C
Chevron Corp.,0.877,CVX
"Home Depot, Inc.",0.876,HD
"Gilead Sciences, Inc.",0.851,GILD
Intel Corp.,0.847,INTC
"Merck & Co., Inc.",0.822,MRK
"PepsiCo, Inc.",0.819,PEP
"Visa, Inc. (Class A)",0.804,V
"Cisco Systems, Inc.",0.789,CSCO
International Business Machines Corp.,0.772,IBM
"Philip Morris International, Inc.",0.726,PM
Comcast Corp. (Class A),0.707,CMCSA
Oracle Corp.,0.695,ORCL
"UnitedHealth Group, Inc.",0.654,UNH
CVS Health Corp.,0.635,CVS
Allergan PLC,0.633,ABBV
"Altria Group, Inc.",0.631,MO
"Amgen, Inc.",0.62,AMGN
"Wal-Mart Stores, Inc.",0.605,WMT
Bristol-Myers Squibb Co.,0.584,BMY
Medtronic PLC,0.559,MDT
McDonald’s Corp.,0.548,MCD
"MasterCard, Inc. (Class A)",0.532,MA
"AbbVie, Inc.",0.532,ABBV
3M Co.,0.523,MMM
"Schlumberger, Ltd.",0.517,SLB
Celgene Corp.,0.506,BMY
Starbucks Corp.,0.499,SBUX
"QUALCOMM, Inc.",0.498,QCOM
Boeing Co.,0.494,BA
"NIKE, Inc. (Class B)",0.492,NKE
Eli Lilly & Co.,0.481,LLY
Union Pacific Corp.,0.453,UNP
"Honeywell International, Inc.",0.438,HON
United Technologies Corp.,0.434,UAL
"American International Group, Inc.",0.434,AIG
"Walgreens Boots Alliance, Inc.",0.429,WBA
"Goldman Sachs Group, Inc.",0.414,GS
"United Parcel Service, Inc. (Class B)",0.408,UPS
"Biogen, Inc.",0.405,BIIB
U.S. Bancorp,0.4,USB
"Mondelez International, Inc. (Class A)",0.399,MDLZ
"Lowe’s Cos., Inc.",0.377,LOW
Costco Wholesale Corp.,0.374,COST
American Express Co.,0.373,AXP
"priceline.com, Inc.",0.371,BKNG
Accenture PLC (Class A),0.362,ACN
Abbott Laboratories,0.353,ABT
ConocoPhillips,0.349,COP
Colgate-Palmolive Co.,0.338,CL
"Simon Property Group, Inc.",0.337,SPG
"Time Warner, Inc.",0.331,WBD
Lockheed Martin Corp.,0.327,LMT
Express Scripts Holding Co.,0.323,CI
Ford Motor Co.,0.312,F
"MetLife, Inc.",0.31,MET
"Texas Instruments, Inc.",0.3,TXN
Occidental Petroleum Corp.,0.3,OXY
Danaher Corp.,0.299,DHR
"Time Warner Cable, Inc.",0.299,CHTR
"Kinder Morgan, Inc.",0.294,KMI
Duke Energy Corp.,0.293,DUK
Target Corp.,0.292,TGT
Dow Chemical Co.,0.291,DOW
"Thermo Fisher Scientific, Inc.",0.287,TMO
"TJX Cos., Inc.",0.285,TJX
Morgan Stanley,0.284,MS
EMC Corp.,0.277,DELL
Hewlett-Packard Co.,0.274,HPQ
"PNC Financial Services Group, Inc.",0.271,PNC
"NextEra Energy, Inc.",0.266,NEE
"Netflix, Inc.",0.26,NFLX
E. I. du Pont de Nemours & Co.,0.257,DD
General Motors Co..,0.256,GM
Bank of New York Mellon Corp.,0.256,BK
"Salesforce.com, Inc.",0.255,CRM
McKesson Corp.,0.253,MCK
Kraft Heinz Co.,0.248,KHC
