Company,Weight,Ticker
Exxon Mobil Corp.,3.044,XOM
"Apple, Inc.",2.509,AAPL
Microsoft Corp.,1.806,MSFT
General Electric Co.,1.681,GE
Johnson & Johnson,1.653,JNJ
The Procter & Gamble Co.,1.646,PG
International BusinessMachines Corp.,1.636,IBM
"AT&T, Inc.",1.635,T
Chevron Corp.,1.575,CVX
JPMorgan Chase & Co.,1.46,JPM
"Berkshire Hathaway, Inc. (Class B)",1.386,BRK.B
"Pfizer, Inc.",1.335,PFE
TheCoca-ColaCo.,1.306,KO
Wells Fargo & Co.,1.273,WFC
Bank of America Corp.,1.272,BAC
"Google, Inc. (Class A)",1.266,GOOGL
"Cisco Systems, Inc.",1.21,CSCO
"Merck & Co., Inc.",1.096,MRK
Intel Corp.,1.035,INTC
"Wal-Mart Stores, Inc.",1.034,WMT
"PepsiCo, Inc.",1.022,PEP
Oracle Corp.,1.005,ORCL
"Philip Morris International, Inc.",0.993,PM
Hewlett-Packard Co.,0.922,HPQ
"Citigroup, Inc.",0.898,C
"Verizon Communications, Inc.",0.891,VZ
ConocoPhillips,0.824,COP
"Schlumberger, Ltd.",0.814,SLB
Abbott Laboratories,0.78,ABT
McDonald’s Corp.,0.767,MCD
"The Goldman Sachs Group, Inc.",0.72,GS
"QUALCOMM, Inc.",0.7,QCOM
United Technologies Corp.,0.64,UAL
"United Parcel Service, Inc. (Class B)",0.639,UPS
Occidental Petroleum Corp.,0.615,OXY
The Walt Disney Co.,0.612,DIS
3M Co.,0.598,MMM
"Amazon.com, Inc.",0.538,AMZN
"Kraft Foods, Inc. (Class A)",0.52,KHC
"Amgen, Inc.",0.511,AMGN
"Home Depot, Inc.",0.51,HD
Comcast Corp. (Class A),0.491,CMCSA
"Altria Group, Inc.",0.484,MO
"Caterpillar, Inc.",0.478,CAT
The Boeing Co.,0.47,BA
Bristol-Myers Squibb Co.,0.451,BMY
American Express Co.,0.423,AXP
CVS Caremark Corp.,0.414,CVS
Ford Motor Co.,0.407,F
EMC Corp.,0.404,DELL
U.S. Bancorp,0.401,USB
Union Pacific Corp.,0.394,UNP
E. I. du Pont de Nemours & Co.,0.391,DD
"Freeport-McMoRan Copper &Gold, Inc.",0.39,FCX
Emerson Electric Co.,0.384,EMR
"UnitedHealth Group, Inc.",0.382,UNH
Target Corp.,0.373,TGT
Colgate-Palmolive Co.,0.361,CL
Eli Lilly & Co.,0.359,LLY
"Visa, Inc. (Class A)",0.358,V
"Medtronic, Inc.",0.351,MDT
DIRECTV,0.349,T
Apache Corp.,0.345,APA
"MetLife, Inc.",0.337,MET
Morgan Stanley,0.334,MS
"Time Warner, Inc.",0.333,WBD
"Honeywell International, Inc.",0.326,HON
Walgreen Co.,0.317,WBA
"Texas Instruments, Inc.",0.314,TXN
The Dow Chemical Co.,0.307,DOW
The Bank of New YorkMellon Corp.,0.307,BK
"Lowe’s Cos., Inc.",0.302,LOW
"NIKE, Inc. (Class B)",0.301,NKE
Newmont Mining Corp.,0.298,NEM
Southern Co.,0.297,SO
Halliburton Co.,0.29,HAL
"Gilead Sciences, Inc.",0.289,GILD
News Corp. (Class A),0.288,NWS
Deere & Co.,0.287,DE
"Corning, Inc.",0.276,GLW
Costco Wholesale Corp.,0.275,COST
Anadarko Petroleum Corp.,0.273,OXY
"eBay, Inc.",0.273,EBAY
Devon Energy Corp.,0.272,DVN
Exelon Corp.,0.272,EXC
"Baxter International, Inc.",0.27,BAX
"Praxair, Inc.",0.267,LIN
"PNC Financial ServicesGroup, Inc.",0.264,PNC
"Simon Property Group, Inc.",0.262,SPG
FedEx Corp.,0.259,FDX
Kimberly-Clark Corp.,0.258,KMB
Celgene Corp.,0.257,BMY
"Express Scripts, Inc.",0.255,CI
Monsanto Co.,0.251,BAYRY
"Dominion Resources, Inc.",0.249,D
"Prudential Financial, Inc.",0.244,PRU
"The Travelers Cos., Inc.",0.237,TRV
"AFLAC, Inc.",0.235,AFL
General Dynamics Corp.,0.231,GD
"Illinois Tool Works, Inc.",0.231,ITW
"EOG Resources, Inc.",0.228,EOG
Marathon Oil Corp.,0.227,COP
"General Mills, Inc.",0.227,GIS
Duke Energy Corp.,0.225,DUK
"WellPoint, Inc.",0.219,ELV
"Medco Health Solutions, Inc.",0.218,CI
"NextEra Energy, Inc.",0.218,NEE
Norfolk Southern Corp.,0.213,NSC
"Viacom, Inc. (Class B)",0.213,PSKY
"Dell, Inc.",0.212,DELL
Danaher Corp.,0.21,DHR
"MasterCard, Inc. (Class A)",0.21,MA
"Yum! Brands, Inc.",0.208,YUM
Lockheed Martin Corp.,0.205,LMT
CSX Corp.,0.203,CSX
American Tower Corp. (Class A),0.2,AMT
"Automatic Data Processing, Inc.",0.2,ADP
Archer-Daniels-Midland Co.,0.199,ADM
"Johnson Controls, Inc.",0.199,JCI
"Allergan, Inc.",0.198,ABBV
"Motorola, Inc.",0.192,MSI
"Thermo Fisher Scientific, Inc.",0.19,TMO
"ACE, Ltd.",0.19,CB
Cognizant Technology Solutions Corp. (Class A),0.187,CTSH
"Yahoo!, Inc.",0.186,YHOO
"Time Warner Cable, Inc.",0.185,CHTR
Starbucks Corp.,0.184,SBUX
State Street Corp.,0.183,STT
"National-Oilwell Varco, Inc.",0.18,NOV
"Baker Hughes, Inc.",0.177,BKR
"Tyco International, Ltd.",0.177,JCI
"Cummins, Inc.",0.176,CMI
Precision Castparts Corp.,0.175,BRK.B
Capital One Financial Corp.,0.175,COF
Genzyme Corp.,0.174,SNY
Chubb Corp.,0.173,CB
"TJX Cos., Inc.",0.173,TJX
Northrop Grumman Corp.,0.172,NOC
"NetApp, Inc.",0.172,NTAP
PG&E Corp.,0.172,PCG
"Air Products & Chemicals, Inc.",0.17,APD
"PACCAR, Inc.",0.17,PCAR
"CME Group, Inc.",0.17,CME
"American Electric Power Co., Inc.",0.168,AEP
"Becton, Dickinson & Co.",0.167,BDX
Hess Corp.,0.167,CVX
"Waste Management, Inc.",0.167,WM
Stryker Corp.,0.166,SYK
Raytheon Co.,0.165,RTX
The Allstate Corp.,0.164,ALL
"priceline.com, Inc.",0.163,BKNG
Sysco Corp.,0.163,SYY
"Public Service EnterpriseGroup, Inc.",0.162,PEG
BB&T Corp.,0.161,TFC
Carnival Corp.,0.16,CCL
Kohl’s Corp.,0.157,KSS
McKesson Corp.,0.156,MCK
"Juniper Networks, Inc.",0.154,HPE
Broadcom Corp. (Class A),0.154,AVGO
"Franklin Resources, Inc.",0.153,BEN
"Applied Materials, Inc.",0.152,AMAT
"Staples, Inc.",0.148,SPLS
H.J. Heinz Co.,0.145,KHC
Chesapeake Energy Corp.,0.143,CHK
Spectra Energy Corp.,0.141,ENB
Entergy Corp.,0.14,ETR
Xerox Corp.,0.138,XRX
"Best Buy Co., Inc.",0.137,BBY
The Kroger Co.,0.135,KR
The Progressive Corp.,0.135,PGR
