Company,Weight,Ticker
General Electric Co,4.525,GE
"Cisco Systems, Inc",3.105,CSCO
Microsoft Corp,2.514,MSFT
Exxon Mobil Corp,2.459,XOM
"Pfizer, Inc",2.245,PFE
Intel Corp,2.21,INTC
"Citigroup, Inc",1.926,C
Oracle Corp,1.756,ORCL
"American International Group, Inc",1.756,AIG
EMC Corp,1.708,DELL
"Wal-Mart Stores, Inc",1.702,WMT
International Business Machines Corp,1.569,IBM
"Sun Microsystems, Inc",1.467,ORCL
Nortel Networks Corp,1.409,DELISTED
"Merck & Co, Inc",1.358,MRK
"SBC Communications, Inc",1.342,T
Coca-Cola Co,1.083,KO
Verizon Communications,1.045,VZ
Johnson & Johnson,1.037,JNJ
Royal Dutch Petroleum Co,1.02,SHEL
"America Online, Inc",0.98,WBD
"Home Depot, Inc (The)",0.974,HD
Bristol-Myers Squibb Co,0.889,BMY
AT&T Corp,0.875,T
"Time Warner, Inc",0.817,WBD
"Morgan Stanley, Dean Witter, Discover and Co",0.815,MS
"Lucent Technologies, Inc",0.808,NOK
Hewlett-Packard Co,0.766,HPQ
Lilly (Eli) & Co,0.727,LLY
"Viacom, Inc",0.703,PSKY
JDS Uniphase Corp,0.7,VIAV
Procter & Gamble Co,0.695,PG
"Corning, Inc",0.693,GLW
"Tyco Laboratories, Inc",0.692,JCI
"WorldCom, Inc",0.69,VZ
Bank of America Corp,0.681,BAC
"Texas Instruments, Inc",0.646,TXN
American Express Co,0.641,AXP
"Qwest Communications Intl, Inc",0.632,LUMN
Disney (Walt) Co (The),0.631,DIS
Dell Computer Corp,0.63,DELL
Pharmacia Corp,0.619,PFE
Wells Fargo & Co,0.599,WFC
BellSouth Corp,0.597,T
American Home  Products Corp,0.585,PFE
Abbott Lab,0.585,ABT
Fannie Mae,0.572,FNMA
"Amgen, Inc",0.569,AMGN
Schering-Plough Corp,0.54,MRK
"PepsiCo, Inc",0.526,PEP
"Philip Morris Cos, Inc",0.525,PM
Enron Corp,0.51,DELISTED
"Medtronic, Inc",0.492,MDT
"Motorola, Inc",0.483,MSI
Chase Manhattan Corp,0.478,JPM
VERITAS Software Corp,0.452,AVGO
Boeing Co,0.448,BA
Chevron Corp,0.441,CVX
"Broadcom Corp, Class A",0.428,AVGO
"Merrill Lynch & Co, Inc",0.42,BAC
"QUALCOMM, Inc",0.419,QCOM
"Yahoo, Inc",0.393,VZ
Schwab (Charles) Corp,0.384,SCHW
"Applied Materials, Inc",0.38,AMAT
Ford Motor Co,0.377,F
Schlumberger Ltd,0.372,SLB
Compaq Computer Corp,0.372,HPQ
"Siebel Systems, Inc",0.367,ORCL
Banc One Corp,0.352,JPM
"Du Pont (EI) de Nemours& Co, Inc",0.344,DD
"Automatic Data Processing, Inc",0.333,ADP
"Bank of New York, Inc",0.328,BK
McDonald's Corp,0.316,MCD
"Network Appliance, Inc",0.309,NTAP
"Anheuser-Busch Cos, Inc",0.303,BUD
Walgreen Co,0.303,WBA
Freddie Mac,0.299,FMCC
"Comcast Corp, Class A",0.293,CMCSA
Minnesota Mining &Manufacturing Co,0.286,MMM
"Marsh & McLennan Cos, Inc",0.285,MRSH
"Nextel Communications, Inc, Class A",0.281,TMUS
Fleet Boston Financial Corp,0.279,BAC
General Motors Corp,0.276,GM
"Clear Channel Communications, Inc",0.262,IHRT
