Company,Weight,Ticker
"Apple, Inc.",3.252,AAPL
Microsoft Corp.,2.397,MSFT
Exxon Mobil Corp.,1.924,XOM
"Amazon.com, Inc.",1.761,AMZN
Johnson & Johnson,1.728,JNJ
"Facebook, Inc. Class A",1.592,META
"Berkshire Hathaway, Inc.Class B",1.466,BRK.B
General Electric Co.,1.417,GE
"AT&T, Inc.",1.329,T
JPMorgan Chase & Co.,1.285,JPM
Procter & Gamble Co.,1.28,PG
"Alphabet, Inc. Class A",1.267,GOOG
"Alphabet, Inc. Class C",1.221,GOOG
"Verizon Communications, Inc.",1.127,VZ
"Pfizer, Inc.",1.092,PFE
Wells Fargo & Co.,1.074,WFC
Chevron Corp.,1.031,CVX
Intel Corp.,0.948,INTC
"Merck & Co., Inc.",0.919,MRK
Coca-Cola Co.,0.876,KO
Bank of America Corp.,0.856,BAC
Comcast Corp. Class A,0.853,CMCSA
"Home Depot, Inc.",0.851,HD
"Cisco Systems, Inc.",0.848,CSCO
"Visa, Inc. Class A",0.837,V
"PepsiCo, Inc.",0.835,PEP
"Philip Morris International, Inc.",0.802,PM
Walt Disney Co.,0.738,DIS
International Business Machines Corp.,0.738,IBM
"Citigroup, Inc.",0.738,C
"UnitedHealth Group, Inc.",0.708,UNH
"Amgen, Inc.",0.666,AMGN
"Altria Group, Inc.",0.658,MO
Medtronic PLC,0.637,MDT
Oracle Corp.,0.632,ORCL
"Wal-Mart Stores, Inc.",0.585,WMT
"Schlumberger, Ltd.",0.581,SLB
3M Co.,0.568,MMM
"Gilead Sciences, Inc.",0.56,GILD
"AbbVie, Inc.",0.543,ABBV
"QUALCOMM, Inc.",0.535,QCOM
McDonald’s Corp.,0.526,MCD
"MasterCard, Inc. Class A",0.522,MA
CVS Health Corp.,0.508,CVS
Allergan PLC,0.485,ABBV
Bristol-Myers Squibb Co.,0.479,BMY
"Honeywell International, Inc.",0.472,HON
Union Pacific Corp.,0.437,UNP
Celgene Corp.,0.431,BMY
Starbucks Corp.,0.422,SBUX
United Technologies Corp.,0.42,UAL
Eli Lilly & Co.,0.415,LLY
Boeing Co.,0.409,BA
Accenture PLC Class A,0.406,ACN
